"id","department","code","customer","main_address","del_address","date","credit_limit","contact","line_business","years_business","capital_invested","registration","type_organization","terms","mode_payment","credit_request","officer","officer_address","depository","account","contact_person","bank_contact","tag_","encoded","sales_officer","pricelist","area","terms_details","custom1","manual_code","approval","main_code","shared_to","company","tin","card_no","category","birthdate","gender","fax","email","officer_contact_no","contact_person_contact_no","acctng_officer","acctng_officer_contact_no","invoice","dr","discount","receipt_qty","trucking_name","trucking_address","trucking_contact_no","trucking_remarks","trucking_name2","trucking_address2","trucking_contact_no2","trucking_remarks2","trucking_name3","trucking_address3","trucking_contact_no3","trucking_remarks3","option1","option2","option3","other_address1","commission_rate1","commission_rate2","contact_person_email","print_no_price","contact_tel_no","acctng_contact_person","acctng_contact_number","acctng_email","owner_contact_person","owner_contact_number","owner_email","second_address","group_code","type_code","customer_type","agent_commission","remarks","inactive","order_days"
"25",,"24","ALL HOME CORP. - CEBU","STARMALL LAWAAN I, CEBU CITY",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:56:01","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"26",,"25","ALL HOME CORP. - ILOILO","BRGY. PULO MAESTRA VITA, ILOILO",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:56:49","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"27",,"26","All Home Corp. - Santiago","Brgy. Batal, Isabella",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"28",,"27","All Home Corp. - Symphony - Quick Fix","Symphony Towers, Quezon City",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"29",,"28","All Home Corp. - Alabang","Alabang Mun, Muntinlupa City",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"30",,"29","All Home Corp. - Evia","2nd Floor Evia Lifestyle Center,",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"31",,"30","All Home Corp. - Global South","C5 Road Extension, Las Pinas City",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"32",,"31","ALL HOME CORP. - PASEO DE ANDALUCIA","SAN AGUSTIN CITY OF SAN FERNAN, PAMPANGA",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:58:18","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"33",,"32","All Home Corp. - SHAW Mandaluyong City","Starmall Sh, Mandaluyong City",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"34",,"33","All Home Corp. - Sta. Rosa","Starmall Prima Santa Rosa,",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO","0928-995-6121/0947-608-8179 ( Monday )",,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"35",,"34","All Home Corp. - Las pinas Quick Fix","GF Vista Mall Las Pinas",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
